time,DiaSemana,Ano,Mes,Dia,Hora,Temp,semana,sintetic
2015-01-01 00:00:00,3,2015,1,1,0,23.457638685644326,1,1
2015-01-01 01:00:00,3,2015,1,1,1,23.439940325121313,1,1
2015-01-01 02:00:00,3,2015,1,1,2,22.526704922132524,1,1
2015-01-01 03:00:00,3,2015,1,1,3,21.8647862385709,1,1
2015-01-01 04:00:00,3,2015,1,1,4,21.742313583751468,1,1
2015-01-01 05:00:00,3,2015,1,1,5,21.262334046366675,1,1
2015-01-01 06:00:00,3,2015,1,1,6,20.45741260977894,1,1
2015-01-01 07:00:00,3,2015,1,1,7,20.284676611074076,1,1
2015-01-01 08:00:00,3,2015,1,1,8,19.990175891970697,1,1
2015-01-01 09:00:00,3,2015,1,1,9,20.18414992330321,1,1
2015-01-01 10:00:00,3,2015,1,1,10,23.016595541410197,1,1
2015-01-01 11:00:00,3,2015,1,1,11,23.623295340139975,1,1
2015-01-01 12:00:00,3,2015,1,1,12,24.136547795308047,1,1
2015-01-01 13:00:00,3,2015,1,1,13,24.31848694148488,1,1
2015-01-01 14:00:00,3,2015,1,1,14,23.582943078147423,1,1
2015-01-01 15:00:00,3,2015,1,1,15,22.136633056204744,1,1
2015-01-01 16:00:00,3,2015,1,1,16,20.477942707985676,1,1
2015-01-01 17:00:00,3,2015,1,1,17,19.46630442048877,1,1
2015-01-01 18:00:00,3,2015,1,1,18,19.270914520314477,1,1
2015-01-01 19:00:00,3,2015,1,1,19,19.108089603502492,1,1
2015-01-01 20:00:00,3,2015,1,1,20,18.41289800215759,1,1
2015-01-01 21:00:00,3,2015,1,1,21,18.589173672967036,1,1
2015-01-01 22:00:00,3,2015,1,1,22,18.845445933340613,1,1
2015-01-01 23:00:00,3,2015,1,1,23,18.60970377117377,1,1
2015-01-02 00:00:00,4,2015,1,2,0,17.951324759716726,1,1
2015-01-02 01:00:00,4,2015,1,2,1,18.14529879104924,1,1
2015-01-02 02:00:00,4,2015,1,2,2,18.764741409355565,1,1
2015-01-02 03:00:00,4,2015,1,2,3,19.68717995981632,1,1
2015-01-02 04:00:00,4,2015,1,2,4,19.083311898770265,1,1
2015-01-02 05:00:00,4,2015,1,2,5,18.228835052717955,1,1
2015-01-02 06:00:00,4,2015,1,2,6,17.54426246768685,1,1
2015-01-02 07:00:00,4,2015,1,2,7,17.27807912542039,1,1
2015-01-02 08:00:00,4,2015,1,2,8,17.139323978919776,1,1
2015-01-02 09:00:00,4,2015,1,2,9,16.97649906210779,1,1
2015-01-02 10:00:00,4,2015,1,2,10,18.687576557475097,1,1
2015-01-02 11:00:00,4,2015,1,2,11,18.643684623377965,1,1
2015-01-02 12:00:00,4,2015,1,2,12,18.66846232811025,1,1
2015-01-02 13:00:00,4,2015,1,2,13,19.007562915731626,1,1
2015-01-02 14:00:00,4,2015,1,2,14,20.28113693896944,1,1
2015-01-02 15:00:00,4,2015,1,2,15,20.526082248608304,1,1
2015-01-02 16:00:00,4,2015,1,2,16,20.51829496997817,1,1
2015-01-02 17:00:00,4,2015,1,2,17,21.52639358537044,1,1
2015-01-02 18:00:00,4,2015,1,2,18,21.41666375012761,1,1
2015-01-02 19:00:00,4,2015,1,2,19,21.911509910351754,1,1
2015-01-02 20:00:00,4,2015,1,2,20,21.7628436819582,1,1
2015-01-02 21:00:00,4,2015,1,2,21,22.05309679453603,1,1
2015-01-02 22:00:00,4,2015,1,2,22,20.15300080878268,1,1
2015-01-02 23:00:00,4,2015,1,2,23,20.247156086765244,1,1
2015-01-03 00:00:00,5,2015,1,3,0,19.52081537089975,1,1
2015-01-03 01:00:00,5,2015,1,3,1,18.433428100364324,1,1
2015-01-03 02:00:00,5,2015,1,3,2,17.09118443829709,1,1
2015-01-03 03:00:00,5,2015,1,3,3,17.22569197827221,1,1
2015-01-03 04:00:00,5,2015,1,3,4,17.42249774728839,1,1
2015-01-03 05:00:00,5,2015,1,3,5,15.974063922082962,1,1
2015-01-03 06:00:00,5,2015,1,3,6,16.934730931273464,1,1
2015-01-03 07:00:00,5,2015,1,3,7,16.480237033041817,1,1
2015-01-03 08:00:00,5,2015,1,3,8,15.412671926292148,1,1
2015-01-03 09:00:00,5,2015,1,3,9,14.711108915158944,1,1
2015-01-03 10:00:00,5,2015,1,3,10,18.698903508209867,1,1
2015-01-03 11:00:00,5,2015,1,3,11,19.628421402879837,1,1
2015-01-03 12:00:00,5,2015,1,3,12,20.88288119675275,1,1
2015-01-03 13:00:00,5,2015,1,3,13,22.98119882036417,1,1
2015-01-03 14:00:00,5,2015,1,3,14,25.52763893241888,1,1
2015-01-03 15:00:00,5,2015,1,3,15,26.32052548385093,1,1
2015-01-03 16:00:00,5,2015,1,3,16,26.976780692045224,1,1
2015-01-03 17:00:00,5,2015,1,3,17,28.600074319218265,1,1
2015-01-03 18:00:00,5,2015,1,3,18,28.813162579915627,1,1
2015-01-03 19:00:00,5,2015,1,3,19,29.042533332294227,1,1
2015-01-03 20:00:00,5,2015,1,3,20,28.491760352817263,1,1
2015-01-03 21:00:00,5,2015,1,3,21,28.12858999488452,1,1
2015-01-03 22:00:00,5,2015,1,3,22,25.14323054185849,1,1
2015-01-03 23:00:00,5,2015,1,3,23,25.020049952618137,1,1
2015-01-04 00:00:00,6,2015,1,4,0,24.184687335930732,1,1
2015-01-04 01:00:00,6,2015,1,4,1,23.757802880115037,1,1
2015-01-04 02:00:00,6,2015,1,4,2,22.449540070252056,1,1
2015-01-04 03:00:00,6,2015,1,4,3,22.047433319168647,1,1
2015-01-04 04:00:00,6,2015,1,4,4,20.996858638521132,1,1
2015-01-04 05:00:00,6,2015,1,4,5,19.133575242655695,1,1
2015-01-04 06:00:00,6,2015,1,4,6,18.45254232972917,1,1
2015-01-04 07:00:00,6,2015,1,4,7,18.02494993949256,1,1
2015-01-04 08:00:00,6,2015,1,4,8,17.526564107163836,1,1
2015-01-04 09:00:00,6,2015,1,4,9,17.656116106192485,1,1
2015-01-04 10:00:00,6,2015,1,4,10,19.309142979044225,1,1
2015-01-04 11:00:00,6,2015,1,4,11,19.34453970009031,1,1
2015-01-04 12:00:00,6,2015,1,4,12,19.319054060937106,1,1
2015-01-04 13:00:00,6,2015,1,4,13,19.746646451173717,1,1
2015-01-04 14:00:00,6,2015,1,4,14,21.121455096603313,1,1
2015-01-04 15:00:00,6,2015,1,4,15,21.02659188419983,1,1
2015-01-04 16:00:00,6,2015,1,4,16,21.17525811259333,1,1
2015-01-04 17:00:00,6,2015,1,4,17,21.971684336130068,1,1
2015-01-04 18:00:00,6,2015,1,4,18,21.81381496026455,1,1
2015-01-04 19:00:00,6,2015,1,4,19,21.86761797625462,1,1
2015-01-04 20:00:00,6,2015,1,4,20,21.165347030700445,1,1
2015-01-04 21:00:00,6,2015,1,4,21,20.96287778631688,1,1
2015-01-04 22:00:00,6,2015,1,4,22,19.064905603826276,1,1
2015-01-04 23:00:00,6,2015,1,4,23,18.677665475582216,1,1
2015-01-05 00:00:00,0,2015,1,5,0,18.633065607064168,1,1
2015-01-05 01:00:00,0,2015,1,5,1,18.347768035432807,1,1
2015-01-05 02:00:00,0,2015,1,5,2,17.537183123477632,1,1
2015-01-05 03:00:00,0,2015,1,5,3,16.585011327338236,1,1
2015-01-05 04:00:00,0,2015,1,5,4,16.538287655557383,1,1
2015-01-05 05:00:00,0,2015,1,5,5,16.32519939486002,1,1
2015-01-05 06:00:00,0,2015,1,5,6,15.622928449305846,1,1
2015-01-05 07:00:00,0,2015,1,5,7,15.595319006889897,1,1
2015-01-05 08:00:00,0,2015,1,5,8,15.697261563502591,1,1
2015-01-05 09:00:00,0,2015,1,5,9,15.801327923378096,1,1
2015-01-05 10:00:00,0,2015,1,5,10,19.994423498496246,1,1
2015-01-05 11:00:00,0,2015,1,5,11,21.21065483363941,1,1
2015-01-05 12:00:00,0,2015,1,5,12,22.72209482230687,1,1
2015-01-05 13:00:00,0,2015,1,5,13,24.137255729728963,1,1
2015-01-05 14:00:00,0,2015,1,5,14,28.161862912667857,1,1
2015-01-05 15:00:00,0,2015,1,5,15,29.07297451239384,1,1
2015-01-05 16:00:00,0,2015,1,5,16,29.41419890327802,1,1
2015-01-05 17:00:00,0,2015,1,5,17,30.845642302381293,1,1
2015-01-05 18:00:00,0,2015,1,5,18,31.11819705443611,1,1
2015-01-05 19:00:00,0,2015,1,5,19,31.302260003875688,1,1
2015-01-05 20:00:00,0,2015,1,5,20,31.015546563402495,1,1
2015-01-05 21:00:00,0,2015,1,5,21,31.18191115231906,1,1
2015-01-05 22:00:00,0,2015,1,5,22,29.03262225040129,1,1
2015-01-05 23:00:00,0,2015,1,5,23,28.56821727027676,1,1
2015-01-06 00:00:00,1,2015,1,6,0,27.892139898296705,1,1
2015-01-06 01:00:00,1,2015,1,6,1,27.27411314883227,1,1
2015-01-06 02:00:00,1,2015,1,6,2,26.065669092319183,1,1
2015-01-06 03:00:00,1,2015,1,6,3,25.27278254088708,1,1
2015-01-06 04:00:00,1,2015,1,6,4,24.756698348035343,1,1
2015-01-06 05:00:00,1,2015,1,6,5,23.718866486964373,1,1
2015-01-06 06:00:00,1,2015,1,6,6,22.57838413485979,1,1
2015-01-06 07:00:00,1,2015,1,6,7,22.511838299293174,1,1
2015-01-06 08:00:00,1,2015,1,6,8,22.570596856229656,1,1
2015-01-06 09:00:00,1,2015,1,6,9,22.56634924970416,1,1
2015-01-06 10:00:00,1,2015,1,6,10,23.039249442879736,1,1
2015-01-06 11:00:00,1,2015,1,6,11,23.815145568209687,1,1
2015-01-06 12:00:00,1,2015,1,6,12,24.683781102680427,1,1
2015-01-06 13:00:00,1,2015,1,6,13,26.84368902091194,1,1
2015-01-06 14:00:00,1,2015,1,6,14,27.887184357350293,1,1
2015-01-06 15:00:00,1,2015,1,6,15,24.58679408701414,1,1
2015-01-06 16:00:00,1,2015,1,6,16,21.02871568746258,1,1
2015-01-06 17:00:00,1,2015,1,6,17,21.191540604274564,1,1
2015-01-06 18:00:00,1,2015,1,6,18,23.194995015482448,1,1
2015-01-06 19:00:00,1,2015,1,6,19,23.930538878819902,1,1
2015-01-06 20:00:00,1,2015,1,6,20,24.59174962796061,1,1
2015-01-06 21:00:00,1,2015,1,6,21,23.99283710786102,1,1
2015-01-06 22:00:00,1,2015,1,6,22,23.97513874733795,1,1
2015-01-06 23:00:00,1,2015,1,6,23,23.76346635548242,1,1
2015-01-07 00:00:00,2,2015,1,7,0,22.971287738471233,1,1
