time,DiaSemana,Ano,Mes,Dia,Hora,Temp,semana,sintetic
2017-01-01 00:00:00,6,2017,1,1,0,26.4168045650963,1,1
2017-01-01 01:00:00,6,2017,1,1,1,26.133630796727687,1,1
2017-01-01 02:00:00,6,2017,1,1,2,24.95138031378872,1,1
2017-01-01 03:00:00,6,2017,1,1,3,24.892621756852236,1,1
2017-01-01 04:00:00,6,2017,1,1,4,24.957043789156103,1,1
2017-01-01 05:00:00,6,2017,1,1,5,24.477772186192222,1,1
2017-01-01 06:00:00,6,2017,1,1,6,24.33760117084978,1,1
2017-01-01 07:00:00,6,2017,1,1,7,24.302912384224612,1,1
2017-01-01 08:00:00,6,2017,1,1,8,24.171236581933215,1,1
2017-01-01 09:00:00,6,2017,1,1,9,24.15920169677753,1,1
2017-01-01 10:00:00,6,2017,1,1,10,26.055050076005383,1,1
2017-01-01 11:00:00,6,2017,1,1,11,26.579629481908228,1,1
2017-01-01 12:00:00,6,2017,1,1,12,27.649318391920644,1,1
2017-01-01 13:00:00,6,2017,1,1,13,26.08761505936775,1,1
2017-01-01 14:00:00,6,2017,1,1,14,25.51489611284228,1,1
2017-01-01 15:00:00,6,2017,1,1,15,26.83165413575631,1,1
2017-01-01 16:00:00,6,2017,1,1,16,27.914085865345328,1,1
2017-01-01 17:00:00,6,2017,1,1,17,29.880727686665296,1,1
2017-01-01 18:00:00,6,2017,1,1,18,29.928867227287924,1,1
2017-01-01 19:00:00,6,2017,1,1,19,29.543750902306613,1,1
2017-01-01 20:00:00,6,2017,1,1,20,28.335306845793585,1,1
2017-01-01 21:00:00,6,2017,1,1,21,27.749137145270595,1,1
2017-01-01 22:00:00,6,2017,1,1,22,26.46777584340265,1,1
2017-01-01 23:00:00,6,2017,1,1,23,25.323753819193485,1,1
2017-01-02 00:00:00,0,2017,1,2,0,25.39383932686468,1,1
2017-01-02 01:00:00,0,2017,1,2,1,25.14464641070032,1,1
2017-01-02 02:00:00,0,2017,1,2,2,23.473921177325508,1,1
2017-01-02 03:00:00,0,2017,1,2,3,22.86014203438657,1,1
2017-01-02 04:00:00,0,2017,1,2,4,22.59749836422469,1,1
2017-01-02 05:00:00,0,2017,1,2,5,21.13702965386358,1,1
2017-01-02 06:00:00,0,2017,1,2,6,20.97491267147257,1,1
2017-01-02 07:00:00,0,2017,1,2,7,20.51192356018987,1,1
2017-01-02 08:00:00,0,2017,1,2,8,19.784874909903465,1,1
